CLIENTNUM;Attrition_Flag;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Total_Relationship_Count;Months_Inactive_12_mon;Contacts_Count_12_mon;Total_Revolving_Bal;Avg_Open_To_Buy;Total_Amt_Chng_Q4_Q1;Total_Trans_Amt;Total_Trans_Ct;Total_Ct_Chng_Q4_Q1;Avg_Utilization_Ratio;Customer_Age;Credit_Limit;Age_Group;Average_Transaction_Value;Monthly_Average_Spending;Utilization_Level;Churn_Flag;Customer_Segment;Risk_Score;Risk_Level
809846283;Existing Customer;F;1;Unknown;Married;Less than $40K;Blue;37;3;3;0;0;1438,3;0,72;4154;78;0,814;0;42;1438,3;36-45;53,25641026;346,1666667;Low;0;Regular;1;Low Risk
718670808;Existing Customer;F;0;College;Married;Less than $40K;Blue;51;6;1;0;0;1438,3;0,715;4817;81;0,688;0;59;1438,3;56+;59,4691358;401,4166667;Low;0;VIP;1;Low Risk
708621408;Existing Customer;F;1;Unknown;Single;Less than $40K;Blue;28;3;2;1;0;1438,3;0,799;4173;82;0,64;0;39;1438,3;36-45;50,8902439;347,75;Low;0;Potential VIP;1;Low Risk
718285308;Existing Customer;F;1;Unknown;Single;Less than $40K;Blue;31;6;3;1;0;1438,3;0,561;3576;55;0,833;0;44;1438,3;36-45;65,01818182;298;Low;0;Regular;1;Low Risk
797668983;Existing Customer;F;4;Graduate;Married;Less than $40K;Blue;36;6;2;1;0;1438,3;0,795;4396;70;0,628;0;42;1438,3;36-45;62,8;366,3333333;Low;0;Regular;1;Low Risk
708085458;Existing Customer;F;2;Uneducated;Single;Less than $40K;Blue;24;6;2;2;0;1438,3;0,827;3940;82;0,952;0;34;1438,3;25-35;48,04878049;328,3333333;Low;0;Potential VIP;1;Low Risk
714687858;Existing Customer;F;1;Graduate;Single;Less than $40K;Blue;41;6;1;3;0;1438,3;0,53;4538;82;1,05;0;49;1438,3;46-55;55,34146341;378,1666667;Low;0;Potential VIP;1;Low Risk
709022883;Existing Customer;F;4;College;Married;Less than $40K;Blue;36;6;3;2;0;1438,3;0,651;4257;89;0,648;0;44;1438,3;36-45;47,83146067;354,75;Low;0;Potential VIP;1;Low Risk
780055308;Existing Customer;F;3;College;Single;Less than $40K;Blue;28;3;1;3;0;1438,3;0,83;4482;54;0,636;0;43;1438,3;36-45;83;373,5;Low;0;Regular;1;Low Risk
714252933;Existing Customer;F;2;College;Divorced;Less than $40K;Blue;45;4;2;3;0;1438,3;0,744;4737;80;0,818;0;52;1438,3;46-55;59,2125;394,75;Low;0;Regular;1;Low Risk
713656308;Existing Customer;F;0;High School;Married;Less than $40K;Blue;48;3;3;1;0;1438,3;0,618;4210;75;0,5;0;56;1438,3;56+;56,13333333;350,8333333;Low;0;Regular;1;Low Risk
708281433;Existing Customer;F;2;Graduate;Married;Less than $40K;Blue;36;5;1;3;0;1438,3;0,565;3848;75;0,705;0;57;1438,3;56+;51,30666667;320,6666667;Low;0;Regular;1;Low Risk
720064158;Existing Customer;F;3;Post-Graduate;Married;Less than $40K;Blue;36;4;2;3;0;1438,3;0,709;4323;70;0,667;0;51;1438,3;46-55;61,75714286;360,25;Low;0;Regular;1;Low Risk
806908608;Existing Customer;F;2;Unknown;Married;Less than $40K;Blue;41;5;2;3;0;1438,3;0,691;3942;78;1,229;0;46;1438,3;46-55;50,53846154;328,5;Low;0;Regular;1;Low Risk
720924633;Existing Customer;F;5;Graduate;Unknown;Less than $40K;Blue;27;4;2;1;0;1438,3;0,984;4397;73;0,553;0;40;1438,3;36-45;60,23287671;366,4166667;Low;0;Regular;1;Low Risk
716432658;Existing Customer;F;3;High School;Married;Less than $40K;Blue;36;5;2;1;0;1438,3;0,646;4490;65;0,625;0;48;1438,3;46-55;69,07692308;374,1666667;Low;0;Regular;1;Low Risk
720349983;Existing Customer;F;1;Unknown;Divorced;Less than $40K;Blue;19;3;2;1;0;1438,3;0,686;4593;79;0,612;0;32;1438,3;25-35;58,13924051;382,75;Low;0;Regular;1;Low Risk
771455508;Existing Customer;F;0;College;Single;Less than $40K;Blue;48;5;1;3;0;1438,3;0,653;4104;83;0,729;0;60;1438,3;56+;49,44578313;342;Low;0;Potential VIP;1;Low Risk
815772333;Existing Customer;F;2;Unknown;Single;Less than $40K;Blue;43;6;3;3;0;1438,3;0,816;4059;89;0,816;0;48;1438,3;46-55;45,60674157;338,25;Low;0;Potential VIP;1;Low Risk
717365958;Existing Customer;F;1;Graduate;Married;Less than $40K;Blue;36;4;2;3;0;1438,3;0,851;4765;71;1,088;0;50;1438,3;46-55;67,11267606;397,0833333;Low;0;Potential VIP;1;Low Risk
779942808;Existing Customer;F;3;Graduate;Single;Less than $40K;Blue;28;6;2;1;0;1438,3;0,46;4482;74;0,644;0;42;1438,3;36-45;60,56756757;373,5;Low;0;Regular;1;Low Risk
714707133;Existing Customer;F;3;Uneducated;Married;Less than $40K;Blue;36;5;1;1;0;1438,3;0,647;4443;86;0,83;0;47;1438,3;46-55;51,6627907;370,25;Low;0;Potential VIP;1;Low Risk
715941633;Existing Customer;F;0;Graduate;Married;Less than $40K;Blue;36;3;3;3;0;1438,3;0,718;3800;69;0,533;0;50;1438,3;46-55;55,07246377;316,6666667;Low;0;Regular;1;Low Risk
711583458;Existing Customer;F;2;College;Married;Less than $40K;Blue;36;4;3;1;0;1438,3;0,743;4913;82;0,822;0;48;1438,3;46-55;59,91463415;409,4166667;Low;0;VIP;1;Low Risk
715617333;Existing Customer;F;2;Graduate;Married;Less than $40K;Blue;26;3;3;2;0;1438,3;0,61;4957;88;0,872;0;36;1438,3;36-45;56,32954545;413,0833333;Low;0;VIP;1;Low Risk
712673283;Existing Customer;F;4;Unknown;Single;Less than $40K;Blue;26;3;2;3;0;1438,3;0,827;4886;85;0,771;0;36;1438,3;36-45;57,48235294;407,1666667;Low;0;VIP;1;Low Risk
709728183;Existing Customer;F;3;College;Married;Less than $40K;Blue;39;3;2;3;0;1438,3;0,786;4370;79;0,795;0;46;1438,3;46-55;55,3164557;364,1666667;Low;0;Regular;1;Low Risk
779118708;Existing Customer;F;2;Unknown;Single;Less than $40K;Blue;32;4;3;1;0;1438,3;0,815;4598;78;0,902;0;50;1438,3;46-55;58,94871795;383,1666667;Low;0;Regular;1;Low Risk
780180033;Existing Customer;F;0;Graduate;Married;Less than $40K;Blue;20;5;1;1;0;1438,3;0,689;4397;86;0,755;0;31;1438,3;25-35;51,12790698;366,4166667;Low;0;Potential VIP;1;Low Risk
711392508;Existing Customer;F;2;Graduate;Married;Less than $40K;Blue;25;4;2;1;0;1438,3;0,741;4513;75;0,744;0;37;1438,3;36-45;60,17333333;376,0833333;Low;0;Regular;1;Low Risk
720818658;Existing Customer;F;1;Uneducated;Married;Less than $40K;Blue;38;3;3;3;0;1438,3;0,679;4594;86;0,72;0;50;1438,3;46-55;53,41860465;382,8333333;Low;0;Potential VIP;1;Low Risk
809452383;Existing Customer;F;2;Graduate;Married;Less than $40K;Blue;32;6;1;3;0;1438,3;0,707;4733;89;0,816;0;37;1438,3;36-45;53,17977528;394,4166667;Low;0;Potential VIP;1;Low Risk
808669083;Existing Customer;F;1;Graduate;Married;Less than $40K;Blue;47;3;1;3;0;1438,3;0,775;5015;68;0,789;0;52;1438,3;46-55;73,75;417,9166667;Low;0;Potential VIP;1;Low Risk
712838358;Existing Customer;F;4;Uneducated;Married;Less than $40K;Blue;31;5;2;3;0;1438,3;0,553;4702;84;0,714;0;40;1438,3;36-45;55,97619048;391,8333333;Low;0;Potential VIP;1;Low Risk
715565058;Existing Customer;F;1;Uneducated;Unknown;Less than $40K;Blue;16;3;1;2;0;1438,3;0,469;4479;70;0,628;0;27;1438,3;25-35;63,98571429;373,25;Low;0;Regular;1;Low Risk
713531808;Existing Customer;F;1;Doctorate;Married;Less than $40K;Blue;28;6;1;1;0;1438,3;0,813;4475;74;0,644;0;38;1438,3;36-45;60,47297297;372,9166667;Low;0;Regular;1;Low Risk
708125733;Existing Customer;F;2;College;Divorced;Less than $40K;Blue;36;4;3;1;0;1438,3;0,906;4311;77;0,833;0;46;1438,3;46-55;55,98701299;359,25;Low;0;Regular;1;Low Risk
712560558;Existing Customer;F;3;College;Single;Less than $40K;Blue;42;5;2;1;0;1438,3;0,612;4660;87;0,891;0;55;1438,3;46-55;53,56321839;388,3333333;Low;0;Potential VIP;1;Low Risk
711420258;Existing Customer;F;4;Unknown;Single;Less than $40K;Blue;36;5;3;2;0;1438,3;0,705;4432;71;0,651;0;43;1438,3;36-45;62,42253521;369,3333333;Low;0;Regular;1;Low Risk
718183833;Existing Customer;F;1;Graduate;Single;Less than $40K;Blue;18;4;2;1;0;1438,3;0,6;4322;68;0,619;0;30;1438,3;25-35;63,55882353;360,1666667;Low;0;Regular;1;Low Risk
714506583;Existing Customer;F;4;Graduate;Unknown;Less than $40K;Blue;38;4;3;1;0;1438,3;0,647;4601;78;0,625;0;48;1438,3;46-55;58,98717949;383,4166667;Low;0;Regular;1;Low Risk
769200858;Existing Customer;F;4;Graduate;Single;Less than $40K;Blue;28;3;2;3;0;1438,3;0,726;4626;86;0,792;0;34;1438,3;25-35;53,79069767;385,5;Low;0;Potential VIP;1;Low Risk
710466633;Existing Customer;F;3;High School;Married;Less than $40K;Blue;44;5;1;1;0;1438,3;0,575;4755;76;0,9;0;55;1438,3;46-55;62,56578947;396,25;Low;0;Potential VIP;1;Low Risk
715281933;Existing Customer;F;3;High School;Single;Less than $40K;Blue;36;3;3;2;0;1438,3;0,689;4401;73;0,698;0;43;1438,3;36-45;60,28767123;366,75;Low;0;Regular;1;Low Risk
719964933;Existing Customer;F;5;Graduate;Single;Less than $40K;Blue;41;3;2;2;0;1438,3;0,683;4550;78;0,857;0;50;1438,3;46-55;58,33333333;379,1666667;Low;0;Regular;1;Low Risk
718566858;Existing Customer;F;2;College;Single;Less than $40K;Blue;36;3;2;2;0;1438,3;0,757;5005;79;0,795;0;46;1438,3;46-55;63,35443038;417,0833333;Low;0;Potential VIP;1;Low Risk
720027258;Existing Customer;F;2;High School;Single;Less than $40K;Blue;40;3;1;3;0;1438,3;1,052;4978;73;0,921;0;53;1438,3;46-55;68,19178082;414,8333333;Low;0;Potential VIP;1;Low Risk
736893108;Existing Customer;F;2;Doctorate;Single;Less than $40K;Blue;26;2;3;2;0;1438,3;0,613;4196;87;0,891;0;33;1438,3;25-35;48,22988506;349,6666667;Low;0;Potential VIP;1;Low Risk
712111608;Existing Customer;F;2;Post-Graduate;Single;Less than $40K;Blue;54;1;1;3;0;1438,3;0,61;4919;72;0,756;0;59;1438,3;56+;68,31944444;409,9166667;Low;0;Potential VIP;1;Low Risk
713542008;Existing Customer;F;3;High School;Unknown;Less than $40K;Blue;37;1;2;3;0;1438,3;0,584;4236;83;0,844;0;48;1438,3;46-55;51,03614458;353;Low;0;Potential VIP;1;Low Risk
823566408;Existing Customer;F;3;Graduate;Married;Less than $40K;Blue;40;2;2;1;0;1438,3;0,773;4625;93;0,938;0;44;1438,3;36-45;49,7311828;385,4166667;Low;0;Potential VIP;1;Low Risk
711807333;Existing Customer;F;2;College;Single;Less than $40K;Blue;26;1;1;2;0;1438,3;0,587;3948;84;0,68;0;37;1438,3;36-45;47;329;Low;0;Potential VIP;1;Low Risk
816086508;Existing Customer;F;2;Unknown;Married;Less than $40K;Blue;42;1;3;3;0;1438,3;0,677;4624;73;0,587;0;47;1438,3;46-55;63,34246575;385,3333333;Low;0;Regular;1;Low Risk
779890833;Existing Customer;F;2;High School;Divorced;Less than $40K;Blue;36;2;1;1;0;1438,3;0,765;4866;65;0,625;0;51;1438,3;46-55;74,86153846;405,5;Low;0;Regular;1;Low Risk
769662033;Existing Customer;F;2;College;Unknown;Less than $40K;Blue;29;2;2;3;0;1438,3;0,729;5025;85;0,735;0;45;1438,3;36-45;59,11764706;418,75;Low;0;VIP;1;Low Risk
715549158;Existing Customer;F;1;Graduate;Married;Less than $40K;Blue;36;2;2;0;0;1438,3;0,734;4769;84;0,826;0;29;1438,3;25-35;56,77380952;397,4166667;Low;0;VIP;1;Low Risk
718858683;Existing Customer;F;1;Graduate;Married;Less than $40K;Blue;36;2;3;2;0;1438,3;0,665;4511;76;0,767;0;42;1438,3;36-45;59,35526316;375,9166667;Low;0;Regular;1;Low Risk
712300683;Existing Customer;F;1;Graduate;Single;Less than $40K;Blue;32;2;2;1;0;1438,3;0,824;4897;96;0,778;0;41;1438,3;36-45;51,01041667;408,0833333;Low;0;VIP;1;Low Risk
718896108;Existing Customer;F;3;High School;Unknown;Less than $40K;Blue;36;2;1;1;0;1438,3;0,885;5014;84;0,909;0;48;1438,3;46-55;59,69047619;417,8333333;Low;0;VIP;1;Low Risk
795855258;Existing Customer;F;4;College;Single;Less than $40K;Blue;42;2;3;2;0;1438,3;0,707;5045;82;0,745;0;48;1438,3;46-55;61,52439024;420,4166667;Low;0;VIP;1;Low Risk
771546708;Existing Customer;F;2;Graduate;Single;Less than $40K;Blue;34;2;2;1;0;1438,3;0,74;5013;81;1,025;0;46;1438,3;46-55;61,88888889;417,75;Low;0;VIP;1;Low Risk
709389558;Existing Customer;F;4;College;Single;Less than $40K;Blue;36;1;3;0;0;1438,3;0,566;4641;85;0,7;0;33;1438,3;25-35;54,6;386,75;Low;0;Potential VIP;1;Low Risk
709087983;Existing Customer;F;3;Doctorate;Single;Less than $40K;Blue;27;2;2;3;0;1438,3;0,62;5020;94;0,843;0;35;1438,3;25-35;53,40425532;418,3333333;Low;0;VIP;1;Low Risk
774588633;Existing Customer;F;3;Graduate;Single;Less than $40K;Blue;39;2;2;3;0;1438,3;0,81;4928;84;0,909;0;45;1438,3;36-45;58,66666667;410,6666667;Low;0;VIP;1;Low Risk
719953383;Existing Customer;F;4;College;Single;Less than $40K;Blue;27;2;3;3;0;1438,3;0,721;4564;79;0,717;0;38;1438,3;36-45;57,7721519;380,3333333;Low;0;Regular;1;Low Risk
778959258;Attrited Customer;F;1;Unknown;Married;Less than $40K;Blue;32;5;3;3;0;1438,3;0,905;2585;45;0,5;0;51;1438,3;46-55;57,44444444;215,4166667;Low;1;Inactive;1;Low Risk
712161858;Attrited Customer;F;5;Unknown;Single;Less than $40K;Blue;36;4;2;3;0;1438,3;0,571;2244;54;0,929;0;55;1438,3;46-55;41,55555556;187;Low;1;Inactive;1;Low Risk
711274458;Attrited Customer;F;3;High School;Married;Less than $40K;Blue;27;4;3;3;0;1438,3;0,73;2478;45;0,552;0;38;1438,3;36-45;55,06666667;206,5;Low;1;Inactive;1;Low Risk
779302233;Attrited Customer;F;4;Graduate;Single;Less than $40K;Blue;22;4;2;3;0;1438,3;0,695;2502;45;0,452;0;40;1438,3;36-45;55,6;208,5;Low;1;Inactive;1;Low Risk
719860308;Attrited Customer;F;2;Graduate;Married;Less than $40K;Blue;36;2;3;3;0;1438,3;0,663;2418;48;0,778;0;42;1438,3;36-45;50,375;201,5;Low;1;Inactive;1;Low Risk
772127508;Attrited Customer;F;1;Uneducated;Married;Less than $40K;Blue;20;6;2;2;0;1438,3;0,706;2614;49;0,531;0;31;1438,3;25-35;53,34693878;217,8333333;Low;1;Inactive;1;Low Risk
751150233;Existing Customer;M;5;Graduate;Single;Less than $40K;Blue;36;3;2;2;0;1438,3;0,644;4459;65;0,477;0;43;1438,3;36-45;68,6;371,5833333;Low;0;Regular;1;Low Risk
713499408;Existing Customer;M;1;Unknown;Married;Less than $40K;Blue;35;5;2;2;0;1438,3;0,681;4109;71;0,919;0;49;1438,3;46-55;57,87323944;342,4166667;Low;0;Regular;1;Low Risk
721011858;Existing Customer;M;1;Graduate;Unknown;Less than $40K;Blue;52;6;3;3;0;1438,3;0,854;3913;78;0,5;0;63;1438,3;56+;50,16666667;326,0833333;Low;0;Regular;1;Low Risk
708508758;Attrited Customer;F;0;Graduate;Married;Less than $40K;Blue;49;2;3;3;0;1438,3;1,047;692;16;0,6;0;62;1438,3;56+;43,25;57,66666667;Low;1;Inactive;3;Medium Risk
808284783;Existing Customer;F;1;Unknown;Married;Less than $40K;Blue;56;6;0;0;0;1438,3;0,813;1951;44;1,095;0;62;1438,3;56+;44,34090909;162,5833333;Low;0;At Risk;3;Medium Risk
769137108;Attrited Customer;F;2;Post-Graduate;Married;Less than $40K;Blue;37;3;3;1;0;1438,3;1,004;974;28;0,273;0;43;1438,3;36-45;34,78571429;81,16666667;Low;1;Inactive;3;Medium Risk
720605808;Attrited Customer;F;1;Graduate;Single;Less than $40K;Blue;36;2;2;3;0;1438,3;0,672;799;17;0,214;0;53;1438,3;46-55;47;66,58333333;Low;1;Inactive;3;Medium Risk
714451833;Existing Customer;F;1;Doctorate;Single;Less than $40K;Blue;36;6;2;2;0;1438,3;0,597;1431;34;0,545;0;45;1438,3;36-45;42,08823529;119,25;Low;0;At Risk;3;Medium Risk
709633533;Existing Customer;M;2;Uneducated;Married;Less than $40K;Blue;18;3;2;4;0;1438,3;1,561;2789;50;1,083;0;31;1438,3;25-35;55,78;232,4166667;Low;0;Regular;2;Medium Risk
709465758;Existing Customer;F;1;Post-Graduate;Married;Less than $40K;Blue;53;3;1;3;0;1438,3;0,699;902;31;0,409;0;62;1438,3;56+;29,09677419;75,16666667;Low;0;At Risk;3;Medium Risk
710754933;Attrited Customer;F;0;Graduate;Married;Less than $40K;Blue;49;6;2;3;0;1438,3;0,94;840;20;0,818;0;61;1438,3;56+;42;70;Low;1;Inactive;3;Medium Risk
778855383;Existing Customer;F;5;High School;Married;Less than $40K;Blue;17;3;1;3;0;1438,3;1,028;1975;40;0,6;0;36;1438,3;36-45;49,375;164,5833333;Low;0;At Risk;3;Medium Risk
811005858;Existing Customer;F;0;Unknown;Married;Less than $40K;Blue;28;4;2;4;0;1438,3;0,916;2914;70;0,591;0;33;1438,3;25-35;41,62857143;242,8333333;Low;0;Regular;2;Medium Risk
820288233;Existing Customer;F;0;Uneducated;Single;Less than $40K;Blue;20;4;3;4;0;1438,3;0,764;2731;39;0,5;0;46;1438,3;46-55;70,02564103;227,5833333;Low;0;Regular;3;Medium Risk
788965683;Existing Customer;F;4;Uneducated;Married;Less than $40K;Blue;36;6;3;3;0;1438,3;0,782;2170;41;0,464;0;49;1438,3;46-55;52,92682927;180,8333333;Low;0;Regular;2;Medium Risk
719591283;Existing Customer;M;2;Uneducated;Married;Less than $40K;Blue;27;6;2;4;0;1438,3;0,945;2412;58;0,657;0;38;1438,3;36-45;41,5862069;201;Low;0;Regular;2;Medium Risk
773389908;Existing Customer;F;3;High School;Single;Less than $40K;Blue;31;5;1;3;0;1438,3;0,79;2075;66;0,692;0;37;1438,3;36-45;31,43939394;172,9166667;Low;0;Regular;2;Medium Risk
815845758;Existing Customer;F;4;High School;Married;Less than $40K;Blue;51;4;2;3;0;1438,3;0,472;1354;24;0,714;0;56;1438,3;56+;56,41666667;112,8333333;Low;0;At Risk;3;Medium Risk
719363283;Existing Customer;F;0;Doctorate;Single;Less than $40K;Blue;36;3;1;2;0;1438,3;0,691;1904;47;0,382;0;59;1438,3;56+;40,5106383;158,6666667;Low;0;Regular;2;Medium Risk
710760258;Existing Customer;F;3;High School;Married;Less than $40K;Blue;38;4;3;4;0;1438,3;1,084;4740;81;0,653;0;50;1438,3;46-55;58,51851852;395;Low;0;Potential VIP;2;Medium Risk
788122533;Existing Customer;F;1;Graduate;Married;Less than $40K;Blue;48;6;2;2;0;1438,3;0,706;1336;32;0,882;0;56;1438,3;56+;41,75;111,3333333;Low;0;At Risk;3;Medium Risk
720580383;Existing Customer;F;3;Graduate;Married;Less than $40K;Blue;37;3;2;4;0;1438,3;0,868;3637;80;0,86;0;50;1438,3;46-55;45,4625;303,0833333;Low;0;Regular;2;Medium Risk
719356008;Existing Customer;F;3;Graduate;Single;Less than $40K;Blue;36;4;3;4;0;1438,3;1,022;4548;69;0,917;0;39;1438,3;36-45;65,91304348;379;Low;0;Regular;2;Medium Risk
778924158;Existing Customer;F;2;High School;Single;Less than $40K;Blue;26;4;3;4;0;1438,3;0,71;3749;77;0,604;0;45;1438,3;36-45;48,68831169;312,4166667;Low;0;Regular;2;Medium Risk
719309133;Existing Customer;F;1;Graduate;Married;Less than $40K;Blue;51;3;3;4;0;1438,3;0,798;3877;70;0,556;0;56;1438,3;56+;55,38571429;323,0833333;Low;0;Regular;2;Medium Risk
714492783;Attrited Customer;F;4;Uneducated;Married;Less than $40K;Blue;36;3;3;3;0;1438,3;0,346;1517;38;0,407;0;46;1438,3;46-55;39,92105263;126,4166667;Low;1;Inactive;3;Medium Risk
708801108;Attrited Customer;F;3;Uneducated;Single;Less than $40K;Blue;51;3;0;3;0;1438,3;0,429;2113;38;0,267;0;57;1438,3;56+;55,60526316;176,0833333;Low;1;Inactive;3;Medium Risk
710533233;Attrited Customer;F;1;Graduate;Married;Less than $40K;Blue;29;3;3;4;0;1438,3;0,508;2139;47;0,567;0;38;1438,3;36-45;45,5106383;178,25;Low;1;Inactive;3;Medium Risk
826261008;Attrited Customer;F;3;Graduate;Unknown;Less than $40K;Blue;44;3;3;2;0;1438,3;0,736;2054;46;0,586;0;48;1438,3;46-55;44,65217391;171,1666667;Low;1;Inactive;2;Medium Risk
